ACCOUNT_BALANCE_LOW,AGE,AVG_FAMILY_SIZE,CHURN_Y_N,Credit_card_limit,DEPOSIT_AMT,FIRST_NAME,GENDER,INACTIVE_CUST_FLAG,INCOME_LEVEL,Interest_rate,LAST_NAME,MARITAL_STATUS,NUM_DEPOSIT_TRX,NUM_OF_AVG_RESOLUTION,NUM_OF_COMPLAINTS,NUM_OF_ENQUIRIES,NUM_OF_GOOD_RESOLUTION,NUM_OF_POOR_RESOLUTION,NUM_OF_PROD_SUPRT,NUM_WDWL_TRX,OCCUPATION,WDWL_AMT,_id,create_date,customer_id,product_id,product_type,sentiment_polarity,sentiment_score
0.0,50.0,2,N,100000.0,20973.0,FARAND,Female,N,Medium,16.0,Lennard,Married,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Accounting Assistant III,22664.0,59958e94e557cd6021557dba,2017-08-17 12:39:38.192,22278,3848,credit card,neutral,0.0
0.0,33.0,2,Y,50000.0,61346.0,CORT,Male,N,High,18.0,Taverner,Married,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Developer III,0.0,59958e94e557cd6021557db8,2017-08-17 12:39:38.192,22284,3354,credit card,neutral,0.0
0.0,66.0,6,N,400000.0,9636.0,MARION,Male,N,Low,12.0,Collings,Married,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Financial Advisor,0.0,59958e94e557cd6021557dc1,2017-08-17 12:39:38.192,22264,1284,credit card,neutral,0.0
0.0,54.0,6,N,100000.0,24070.0,NOAK,Male,N,High,16.0,Gaw,Married,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pharmacist,0.0,59958e94e557cd6021557dc0,2017-08-17 12:39:38.192,22268,1819,credit card,neutral,0.0
1.0,32.0,2,Y,300000.0,0.0,DOLPH,Male,N,Low,15.0,McMonies,Married,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Health Coach II,22976.0,59958e94e557cd6021557dc3,2017-08-17 12:39:38.192,22258,2547,credit card,negative,-1.0
1.0,53.0,2,N,300000.0,0.0,DORETTE,Female,N,High,15.0,Couling,Married,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Software Test Engineer I,3992.0,59958e94e557cd6021557dc2,2017-08-17 12:39:38.192,22262,1831,credit card,negative,-1.0
1.0,44.0,2,Y,800000.0,0.0,SHAWN,Male,N,Medium,18.0,Heckle,Married,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,Teacher,17819.0,59958e94e557cd6021557dbf,2017-08-17 12:39:38.192,22269,398,credit card,negative,-2.0
1.0,52.0,5,N,800000.0,0.0,KERIANN,Female,N,Medium,18.0,Chalkly,Married,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Graphic Designer,0.0,59958e94e557cd6021557db9,2017-08-17 12:39:38.192,22281,1454,credit card,negative,-1.0
1.0,28.0,3,N,100000.0,0.0,KINGSLEY,Male,N,Low,16.0,Glaisner,Married,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Biostatistician I,0.0,59958e94e557cd6021557dc6,2017-08-17 12:39:38.192,22252,2667,credit card,negative,-1.0
0.0,42.0,5,Y,100000.0,20895.0,DAYNA,Female,N,Medium,16.0,Collett,Married,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Desktop Support Technician,0.0,59958e94e557cd6021557dc7,2017-08-17 12:39:38.192,22248,793,credit card,neutral,0.0
1.0,30.0,2,N,100000.0,0.0,NAHUM,Male,N,High,16.0,Brundrett,Married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Human Resources Assistant IV,36231.0,59958e94e557cd6021557dbc,2017-08-17 12:39:38.192,22274,3198,credit card,neutral,0.0
1.0,43.0,2,Y,100000.0,0.0,MURDOCH,Male,N,High,16.0,Danilyuk,Married,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Administrative Assistant IV,20721.0,59958e94e557cd6021557dc4,2017-08-17 12:39:38.192,22256,2927,credit card,negative,-1.0
0.0,66.0,3,N,300000.0,31298.0,RORY,Male,N,Low,15.0,Muzzlewhite,Married,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Human Resources Manager,8779.0,59958e94e557cd6021557dc8,2017-08-17 12:39:38.192,22246,1682,credit card,neutral,0.0
0.0,61.0,2,N,800000.0,39410.0,LETIZIA,Female,N,Medium,18.0,Emanuelov,Married,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Office Assistant IV,0.0,59958e94e557cd6021557dc9,2017-08-17 12:39:38.192,22245,3698,credit card,negative,-1.0
0.0,32.0,5,N,300000.0,21776.0,WYATT,Male,N,Medium,15.0,Gingedale,Married,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Tax Accountant,0.0,59958e94e557cd6021557dc5,2017-08-17 12:39:38.192,22254,3108,credit card,negative,-2.0
0.0,47.0,5,N,300000.0,13692.0,ONDREA,Female,N,High,15.0,Twizell,Married,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Graphic Designer,0.0,59958e94e557cd6021557dca,2017-08-17 12:39:38.192,22244,3368,credit card,neutral,0.0
0.0,40.0,6,N,300000.0,19224.0,MEAGAN,Female,N,High,15.0,Farndon,Married,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Environmental Tech,0.0,59958e94e557cd6021557dbe,2017-08-17 12:39:38.192,22271,4859,credit card,neutral,0.0
1.0,37.0,2,N,300000.0,0.0,GARV,Male,N,Medium,15.0,Koeppke,Married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,VP Marketing,18607.0,59958e94e557cd6021557dbd,2017-08-17 12:39:38.192,22272,1366,credit card,neutral,0.0
0.0,30.0,3,N,100000.0,20204.0,NANCEE,Female,N,High,16.0,Mixer,Married,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Analog Circuit Design manager,33793.0,59958e94e557cd6021557dcb,2017-08-17 12:39:38.192,22241,220,credit card,neutral,0.0
1.0,57.0,2,N,100000.0,0.0,ROZ,Female,N,High,16.0,Waller-Bridge,Married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Senior Sales Associate,11388.0,59958e94e557cd6021557dd2,2017-08-17 12:39:38.192,22208,4862,credit card,neutral,0.0
1.0,57.0,4,N,100000.0,0.0,ISAIAH,Male,N,Low,16.0,Gepp,Married,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Business Systems Development Analyst,7226.0,59958e94e557cd6021557dd1,2017-08-17 12:39:38.192,22210,4380,credit card,neutral,0.0
0.0,61.0,3,N,100000.0,1060.0,TINE,Female,N,Medium,16.0,Broke,Married,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,General Manager,0.0,59958e94e557cd6021557dbb,2017-08-17 12:39:38.192,22275,82,credit card,negative,-2.0
0.0,36.0,6,N,100000.0,36192.0,CARLEEN,Female,N,High,16.0,Doumerc,Married,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GIS Technical Architect,0.0,59958e94e557cd6021557dd4,2017-08-17 12:39:38.192,22199,2304,credit card,neutral,0.0
1.0,54.0,6,N,100000.0,0.0,BAIL,Male,N,Medium,16.0,Hawkshaw,Married,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Desktop Support Technician,0.0,59958e94e557cd6021557dd0,2017-08-17 12:39:38.192,22212,1341,credit card,neutral,0.0
0.0,60.0,5,N,300000.0,3517.0,LORILYN,Female,N,High,15.0,Snodin,Married,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Accountant I,0.0,59958e94e557cd6021557dd3,2017-08-17 12:39:38.192,22202,1393,credit card,negative,-3.0
0.0,57.0,3,N,800000.0,3457.0,MICKY,Male,N,High,18.0,McCool,Married,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human Resources Assistant II,0.0,59958e94e557cd6021557dce,2017-08-17 12:39:38.192,22217,776,credit card,neutral,0.0
0.0,23.0,5,Y,100000.0,31999.0,ZARLA,Female,N,Medium,16.0,Hainning,Single,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,Human Resources Assistant III,11654.0,59958e94e557cd6021557dd5,2017-08-17 12:39:38.192,22194,2750,credit card,negative,-2.0
1.0,37.0,2,N,300000.0,0.0,MARLEY,Female,N,Medium,15.0,Darrow,Married,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Financial Analyst,0.0,59958e94e557cd6021557dcd,2017-08-17 12:39:38.192,22224,2366,credit card,neutral,0.0
1.0,58.0,4,N,300000.0,0.0,DALSTON,Male,N,High,15.0,Cheevers,Married,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Assistant Media Planner,19746.0,59958e94e557cd6021557dd6,2017-08-17 12:39:38.192,22193,4053,credit card,negative,-1.0
0.0,56.0,2,N,800000.0,51433.0,ROCKWELL,Male,N,Medium,18.0,Restill,Married,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Programmer Analyst III,11463.0,59958e94e557cd6021557dd7,2017-08-17 12:39:38.192,22191,4041,credit card,neutral,0.0
1.0,61.0,2,N,100000.0,0.0,LIA,Female,N,Low,16.0,Pablos,Married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Librarian,17866.0,59958e94e557cd6021557ddc,2017-08-17 12:39:38.192,22183,2744,credit card,neutral,0.0
0.0,23.0,3,N,300000.0,22485.0,ADENA,Female,N,Low,15.0,Twopenny,Single,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Administrative Officer,1906.0,59958e94e557cd6021557dd9,2017-08-17 12:39:38.192,22189,3294,credit card,neutral,0.0
0.0,49.0,2,Y,100000.0,12775.0,ISRAEL,Male,N,High,16.0,Loude,Married,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Community Outreach Specialist,0.0,59958e94e557cd6021557dd8,2017-08-17 12:39:38.192,22232,1096,credit card,neutral,0.0
1.0,36.0,4,Y,300000.0,0.0,JUSTINE,Female,N,Medium,15.0,Vedishchev,Married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Software Consultant,5804.0,59958e94e557cd6021557ddb,2017-08-17 12:39:38.192,22185,4765,credit card,neutral,0.0
1.0,55.0,2,N,100000.0,0.0,KATALIN,Female,N,Medium,16.0,Tatchell,Married,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,Administrative Assistant I,7616.0,59958e94e557cd6021557dda,2017-08-17 12:39:38.192,22188,4133,credit card,negative,-2.0
1.0,47.0,4,Y,300000.0,0.0,DERREK,Male,N,Low,15.0,Reeders,Married,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,Account Executive,10838.0,59958e94e557cd6021557ddd,2017-08-17 12:39:38.192,22174,1784,credit card,neutral,0.0
0.0,53.0,3,N,800000.0,21368.0,D'ARCY,Male,N,High,18.0,Babcock,Married,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Payment Adjustment Coordinator,15616.0,59958e94e557cd6021557dcf,2017-08-17 12:39:38.192,22214,649,credit card,neutral,0.0
1.0,65.0,3,N,800000.0,0.0,DARRELLE,Female,N,Medium,18.0,Rapp,Married,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Database Administrator IV,0.0,59958e94e557cd6021557dde,2017-08-17 12:39:38.192,22173,613,credit card,neutral,0.0
1.0,29.0,3,N,100000.0,0.0,INA,Female,N,High,16.0,Legonidec,Married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Senior Quality Engineer,45266.0,59958e94e557cd6021557de0,2017-08-17 12:39:38.192,22169,4807,credit card,neutral,0.0
1.0,66.0,5,N,300000.0,0.0,JERE,Female,N,High,15.0,Delph,Married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Community Outreach Specialist,11613.0,59958e94e557cd6021557dcc,2017-08-17 12:39:38.192,22226,2109,credit card,neutral,0.0
0.0,34.0,3,N,100000.0,29226.0,BARD,Male,N,Low,16.0,Harron,Married,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Web Developer III,1182.0,59958e94e557cd6021557de5,2017-08-17 12:39:38.192,22157,376,credit card,neutral,0.0
0.0,33.0,6,Y,300000.0,7347.0,MITCHELL,Male,N,High,15.0,Gealy,Married,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Electrical Engineer,23644.0,59958e94e557cd6021557de7,2017-08-17 12:39:38.192,22155,1765,credit card,neutral,0.0
0.0,46.0,2,Y,100000.0,40182.0,BROCK,Male,N,Low,16.0,Innett,Married,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Senior Cost Accountant,0.0,59958e94e557cd6021557de2,2017-08-17 12:39:38.192,22168,4113,credit card,neutral,0.0
0.0,51.0,2,Y,100000.0,25519.0,BAUDOIN,Male,N,Medium,16.0,Sinnett,Married,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,Web Designer I,53009.0,59958e94e557cd6021557de6,2017-08-17 12:39:38.192,22156,380,credit card,neutral,0.0
0.0,23.0,3,N,100000.0,6182.0,SIBELLA,Female,N,Medium,16.0,Thickins,Single,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Administrative Assistant IV,1637.0,59958e94e557cd6021557de1,2017-08-17 12:39:38.192,22197,750,credit card,neutral,0.0
1.0,24.0,4,Y,300000.0,0.0,NISSIE,Female,N,Medium,15.0,Handford,Single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sales Representative,12094.0,59958e94e557cd6021557de8,2017-08-17 12:39:38.192,22153,4900,credit card,neutral,0.0
0.0,39.0,2,Y,300000.0,5943.0,SABA,Female,N,High,15.0,Kedie,Married,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,Software Consultant,41247.0,59958e94e557cd6021557de4,2017-08-17 12:39:38.192,22160,4915,credit card,neutral,0.0
0.0,38.0,2,Y,300000.0,17347.0,PEPE,Male,N,Low,15.0,Wethey,Married,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Information Systems Manager,5215.0,59958e94e557cd6021557de3,2017-08-17 12:39:38.192,22165,1193,credit card,neutral,0.0
0.0,63.0,6,Y,100000.0,13525.0,EVERED,Male,N,Medium,16.0,Mawdsley,Married,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Marketing Assistant,12479.0,59958e94e557cd6021557dea,2017-08-17 12:39:38.192,22150,2127,credit card,neutral,0.0
0.0,58.0,2,N,800000.0,8848.0,ANNE,Female,N,Low,18.0,Mayhou,Married,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Senior Quality Engineer,4698.0,59958e94e557cd6021557de9,2017-08-17 12:39:38.192,22151,319,credit card,neutral,0.0
1.0,65.0,6,N,100000.0,0.0,RAND,Male,N,Low,16.0,Kilcullen,Married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,VP Quality Control,24797.0,59958e94e557cd6021557dec,2017-08-17 12:39:38.192,22145,1571,credit card,neutral,0.0
1.0,63.0,5,N,300000.0,0.0,GRAYCE,Female,N,High,15.0,Soppeth,Married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Nurse Practicioner,19657.0,59958e94e557cd6021557deb,2017-08-17 12:39:38.192,22149,3867,credit card,neutral,0.0
0.0,52.0,6,Y,300000.0,13582.0,BIRCH,Male,N,High,15.0,Petrolli,Married,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Food Chemist,19987.0,59958e94e557cd6021557dee,2017-08-17 12:39:38.192,22137,1729,credit card,neutral,0.0
0.0,47.0,2,N,300000.0,6279.0,JOYCELIN,Female,N,Low,15.0,Otham,Married,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Technical Writer,0.0,59958e94e557cd6021557ddf,2017-08-17 12:39:38.192,22213,1561,credit card,neutral,0.0
0.0,28.0,5,N,300000.0,44345.0,CLEMENTINE,Female,N,Low,15.0,Sharpless,Married,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Executive Secretary,0.0,59958e94e557cd6021557def,2017-08-17 12:39:38.192,22136,3099,credit card,neutral,0.0
1.0,49.0,2,Y,100000.0,0.0,LLYWELLYN,Male,N,Medium,16.0,Loudon,Married,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,Database Administrator III,32615.0,59958e94e557cd6021557ded,2017-08-17 12:39:38.192,22141,887,credit card,neutral,0.0
0.0,53.0,5,N,300000.0,23407.0,BENEDICT,Male,N,Low,15.0,Van de Velde,Married,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Accountant II,19009.0,59958e94e557cd6021557df0,2017-08-17 12:39:38.192,22133,3122,credit card,neutral,0.0
0.0,24.0,3,N,300000.0,13706.0,ANATOLLO,Male,N,High,15.0,Bruniges,Single,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Software Engineer IV,21633.0,59958e94e557cd6021557df2,2017-08-17 12:39:38.192,22131,3383,credit card,neutral,0.0
1.0,23.0,4,Y,300000.0,0.0,DOLLY,Female,N,Medium,15.0,Indruch,Single,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,Design Engineer,39343.0,59958e94e557cd6021557df1,2017-08-17 12:39:38.192,22132,2834,credit card,negative,-1.0
0.0,47.0,5,Y,100000.0,27028.0,NORMAN,Male,N,Low,16.0,Wickens,Married,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Analyst Programmer,0.0,59958e94e557cd6021557df3,2017-08-17 12:39:38.192,22171,1918,credit card,neutral,0.0
0.0,59.0,5,N,300000.0,9377.0,BYRLE,Male,N,High,15.0,Moran,Married,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Junior Executive,0.0,59958e94e557cd6021557df5,2017-08-17 12:39:38.192,22128,4479,credit card,neutral,0.0
0.0,45.0,6,Y,300000.0,11918.0,CLEAVLAND,Male,N,Medium,15.0,Fordham,Married,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,Research Assistant I,34354.0,59958e94e557cd6021557df4,2017-08-17 12:39:38.192,22129,4502,credit card,negative,-1.0
0.0,62.0,3,Y,300000.0,10345.0,ERICK,Male,N,High,15.0,Mellody,Married,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,Safety Technician III,23267.0,59958e94e557cd6021557df9,2017-08-17 12:39:38.192,22119,2160,credit card,negative,-3.0
0.0,29.0,6,Y,100000.0,51095.0,MARTIE,Male,N,Low,16.0,Naulty,Married,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Help Desk Technician,0.0,59958e94e557cd6021557df8,2017-08-17 12:39:38.192,22121,4100,credit card,negative,-1.0
0.0,24.0,2,Y,100000.0,39886.0,MARGARETTA,Female,N,Medium,16.0,Armell,Single,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marketing Manager,0.0,59958e94e557cd6021557df7,2017-08-17 12:39:38.192,22126,184,credit card,neutral,0.0
0.0,66.0,5,N,400000.0,18140.0,DALILA,Female,N,Low,12.0,Heyfield,Married,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Electrical Engineer,0.0,59958e94e557cd6021557df6,2017-08-17 12:39:38.192,22186,1198,credit card,neutral,0.0
0.0,65.0,2,N,800000.0,53985.0,RUSTY,Male,N,Low,18.0,Wright,Married,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Nuclear Power Engineer,20246.0,59958e94e557cd6021557dfa,2017-08-17 12:39:38.192,22118,110,credit card,neutral,0.0
0.0,59.0,5,N,100000.0,9105.0,KENDRE,Female,N,High,16.0,Fearne,Married,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Compensation Analyst,51973.0,59958e94e557cd6021557dfb,2017-08-17 12:39:38.192,22116,1294,credit card,neutral,0.0
1.0,24.0,3,Y,100000.0,0.0,ASHER,Male,N,Medium,16.0,Skittles,Single,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,Developer II,9269.0,59958e94e557cd6021557dfc,2017-08-17 12:39:38.192,22114,1691,credit card,negative,-2.0
0.0,33.0,5,Y,100000.0,10977.0,ISIDORO,Male,N,Low,16.0,Hadcock,Married,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,Director of Sales,16645.0,59958e94e557cd6021557dfd,2017-08-17 12:39:38.192,22112,1800,credit card,negative,-2.0
0.0,40.0,4,Y,400000.0,63353.0,ODY,Male,N,Medium,12.0,Cisar,Married,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,GIS Technical Architect,0.0,59958e94e557cd6021557dfe,2017-08-17 12:39:38.192,22111,3563,credit card,negative,-1.0
0.0,52.0,6,N,100000.0,1019.0,ESTHER,Female,N,Low,16.0,Carryer,Married,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,VP Accounting,1546.0,59958e94e557cd6021557dff,2017-08-17 12:39:38.192,22109,1394,credit card,negative,-1.0
0.0,36.0,5,N,400000.0,52431.0,CECE,Male,N,Medium,12.0,Marvel,Married,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Financial Advisor,0.0,59958e94e557cd6021557e00,2017-08-17 12:39:38.192,22108,4786,credit card,neutral,0.0
0.0,50.0,4,Y,100000.0,5639.0,ELLSWERTH,Male,N,Medium,16.0,Lavielle,Married,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Graphic Designer,0.0,59958e94e557cd6021557e01,2017-08-17 12:39:38.192,22105,377,credit card,negative,-2.0
0.0,50.0,2,N,100000.0,40931.0,HARRIOTT,Female,N,Medium,16.0,Pic,Married,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Dental Hygienist,34148.0,59958e94e557cd6021557e03,2017-08-17 12:39:38.192,22099,1208,credit card,neutral,0.0
0.0,32.0,4,Y,100000.0,7312.0,HILDE,Female,N,High,16.0,McGarva,Married,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Director of Sales,0.0,59958e94e557cd6021557e02,2017-08-17 12:39:38.192,22101,2076,credit card,negative,-1.0
1.0,23.0,3,N,100000.0,0.0,MARCELIA,Female,N,High,16.0,Kondratyuk,Single,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Actuary,0.0,59958e94e557cd6021557e04,2017-08-17 12:39:38.192,22095,394,credit card,negative,-1.0
1.0,58.0,2,N,100000.0,0.0,KEN,Male,N,Low,16.0,Sexten,Married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Marketing Manager,17806.0,59958e94e557cd6021557e07,2017-08-17 12:39:38.192,22088,305,credit card,neutral,0.0
0.0,24.0,4,Y,300000.0,8911.0,BRIGIT,Female,N,High,15.0,Kilian,Single,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Occupational Therapist,0.0,59958e94e557cd6021557e05,2017-08-17 12:39:38.192,22092,1162,credit card,negative,-1.0
0.0,40.0,5,N,100000.0,12325.0,BRION,Male,N,High,16.0,Rabson,Married,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Civil Engineer,14021.0,59958e94e557cd6021557e08,2017-08-17 12:39:38.192,22086,2840,credit card,neutral,0.0
0.0,33.0,4,N,100000.0,19125.0,SEBASTIAN,Male,N,Medium,16.0,McRannell,Married,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Operator,22475.0,59958e94e557cd6021557e06,2017-08-17 12:39:38.192,22096,3775,credit card,neutral,0.0
0.0,25.0,2,Y,300000.0,2567.0,SANSONE,Male,N,Low,15.0,Edinborough,Single,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Operator,16543.0,59958e94e557cd6021557e09,2017-08-17 12:39:38.192,22085,1667,credit card,negative,-1.0
0.0,61.0,6,N,400000.0,28085.0,ALEXIO,Male,N,High,12.0,Rodenburg,Married,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Community Outreach Specialist,43040.0,59958e94e557cd6021557e0b,2017-08-17 12:39:38.192,22080,4888,credit card,neutral,0.0
1.0,41.0,4,Y,800000.0,0.0,RAY,Female,N,Low,18.0,Willment,Married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,General Manager,24446.0,59958e94e557cd6021557e0c,2017-08-17 12:39:38.192,22079,2841,credit card,neutral,0.0
0.0,38.0,2,N,100000.0,2647.0,ROANNA,Female,N,Medium,16.0,Studholme,Married,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Human Resources Assistant I,0.0,59958e94e557cd6021557e0a,2017-08-17 12:39:38.192,22081,4848,credit card,neutral,0.0
1.0,28.0,2,Y,100000.0,0.0,URSULINA,Female,N,Medium,16.0,Dewhirst,Married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Actuary,6258.0,59958e94e557cd6021557e0d,2017-08-17 12:39:38.192,22078,1348,credit card,neutral,0.0
1.0,27.0,4,Y,100000.0,0.0,JIMMY,Male,N,Low,16.0,McIlhone,Single,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Research Assistant IV,11220.0,59958e94e557cd6021557e0f,2017-08-17 12:39:38.192,22067,1146,credit card,neutral,0.0
1.0,56.0,3,N,300000.0,0.0,ERINNA,Female,N,Medium,15.0,Senten,Married,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Nurse Practicioner,10088.0,59958e94e557cd6021557e10,2017-08-17 12:39:38.192,22066,1654,credit card,neutral,0.0
0.0,34.0,4,N,300000.0,23793.0,ANTIN,Male,N,Medium,15.0,Roggero,Married,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Electrical Engineer,36682.0,59958e94e557cd6021557e0e,2017-08-17 12:39:38.192,22075,2383,credit card,neutral,0.0
0.0,35.0,2,N,800000.0,27646.0,KERI,Female,N,High,18.0,Brinicombe,Married,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Compensation Analyst,0.0,59958e94e557cd6021557e13,2017-08-17 12:39:38.192,22056,3793,credit card,neutral,0.0
0.0,61.0,4,Y,100000.0,7716.0,FARRIS,Male,N,Medium,16.0,Mathissen,Married,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,Staff Scientist,5404.0,59958e94e557cd6021557e11,2017-08-17 12:39:38.192,22063,3034,credit card,positive,2.0
0.0,60.0,2,N,400000.0,10247.0,LOGAN,Male,N,High,12.0,Beauchamp,Married,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Editor,0.0,59958e94e557cd6021557e12,2017-08-17 12:39:38.192,22059,1885,credit card,positive,1.0
0.0,28.0,6,N,400000.0,65411.0,STAFFORD,Male,N,Low,12.0,O'Scollain,Married,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Account Coordinator,0.0,59958e94e557cd6021557e16,2017-08-17 12:39:38.192,22052,812,credit card,neutral,0.0
1.0,30.0,4,Y,300000.0,0.0,ARI,Male,N,High,15.0,Dur,Married,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,Media Manager II,18474.0,59958e94e557cd6021557e17,2017-08-17 12:39:38.192,22050,4919,credit card,positive,2.0
0.0,46.0,3,N,100000.0,2765.0,JEMIE,Female,N,High,16.0,O'dell,Married,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Biostatistician IV,18475.0,59958e94e557cd6021557e15,2017-08-17 12:39:38.192,22053,2691,credit card,neutral,0.0
